Name,type,log_P,Jmag,Hmag,Kmag,fe_h_lit,fe_h,mu_distance,e_mu_distance,R,e_R,notes,ref
MY Pup,DCEPS,0.7555,4.333,4.05,3.95,-0.25,-0.11,9.54,0.05,8096,450,b†,LEM 
RS Pup,DCEP,1.6169,4.365,3.828,3.619,0.07,0.21,11.09,0.05,8585,444,b,LEM 
VX Pup,CEP(B),0.4787,7.085,6.76,6.667,-0.15,-0.01,10.54,0.17,8703,453,c*,LEM 
WX Pup,DCEP,0.9512,7.134,6.721,6.572,-0.15,-0.01,11.94,0.05,9351,441,b,LEM 
AV Tau,DCEP,0.5582,9.196,8.648,8.405,-0.17,-0.03,12.29,0.05,10809,457,a,LEM 
ST Tau,DCEP,0.6058,6.269,5.904,5.746,-0.14,0,9.98,0.05,8897,452,a,LEM 
AH Vel,DCEPS,0.626,4.568,4.327,4.235,-0.05,0.09,9.41,0.05,8074,450,b†,LEM 
AX Vel,CEP(B),0.4138,6.773,6.478,6.366,-0.15,-0.01,10.03,0.05,8120,448,b,LEM 
BG Vel,DCEP,0.8403,5.41,4.972,4.797,-0.1,0.04,10.52,0.05,8000,446,b†,LEM 
DR Vel,DCEP,1.0492,6.583,6.035,5.811,-0.01,0.13,11.36,0.05,8054,439,b,LEM 
RY Vel,DCEP,1.4493,5.638,5.136,4.92,-0.05,0.09,11.85,0.05,7774,432,b,LEM 
RZ Vel,DCEP,1.3096,4.919,4.474,4.298,0.05,0.19,10.83,0.05,8249,445,b,LEM 
ST Vel,DCEP,0.7678,7.244,6.734,6.538,-0.14,0,11.19,0.07,8158,442,c,LEM 
SW Vel,DCEP,1.37,5.873,5.407,5.222,-0.15,-0.01,11.93,0.05,8457,433,b,LEM 
SX Vel,DCEP,0.98,6.5,6.133,5.991,-0.18,-0.04,11.49,0.05,8334,439,b,LEM 
T Vel,DCEP,0.6665,6.17,5.782,5.632,-0.02,0.12,10.06,0.05,8084,448,b,LEM 
V Vel,DCEP,0.6406,6.021,5.687,5.567,-0.3,-0.16,9.96,0.05,7888,448,b,LEM
